f_name,gnd,doi,name,fulltext
Andreae_Volkmar.html,https://d-nb.info/gnd/118847503,https://dx.doi.org/10.1553/0x0001f6e8,"Andreae, Volkmar",
Andreasch_Michael.html,https://d-nb.info/gnd/143840282,https://dx.doi.org/10.1553/0x0001f6e9,"Andreasch (Andreaš), Michael",
Andree_Ferry.html,https://d-nb.info/gnd/135140951,https://dx.doi.org/10.1553/0x0001f6ea,"Andree, Ferry",
Andreini_Giovan.html,https://d-nb.info/gnd/119321122,https://dx.doi.org/10.1553/0x0001fa90,"Andreini, Giovan (Giovanni) Battista Francesco",
Andrejevic_Tosa.html,https://d-nb.info/gnd/1033814865,https://dx.doi.org/10.1553/0x0001f6eb,"Andrejević (Andrejevic), Teodor (Toša, Theodor)",
Andress_Walter.html,https://d-nb.info/gnd/130102415,https://dx.doi.org/10.1553/0x0001f6ec,"Andress, Walter",
Androsch_Peter.html,https://d-nb.info/gnd/124905730,https://dx.doi.org/10.1553/0x0001f6ee,"Androsch, Peter",
Anekdote.html,,https://dx.doi.org/10.1553/0x0001f6f0,Anekdote ,
Anger_Moric.html,https://d-nb.info/gnd/1033815640,https://dx.doi.org/10.1553/0x0001f6fa,"Anger, Moric",
Angerer-Schenker_Margit.html,https://d-nb.info/gnd/134882032,https://dx.doi.org/10.1553/0x0001f6f1,"Angerer, Margit (geb. Rupp, verh. Schenker-Angerer)",
Angerer_Dieter.html,https://d-nb.info/gnd/134610261,https://dx.doi.org/10.1553/0x0001f6f2,"Angerer, Dieter",
Angerer_Familie.html,,https://dx.doi.org/10.1553/0x0002074a,"Angerer, Familie Franz",
Angerer_Familie_2.html,,https://dx.doi.org/10.1553/0x0001f6f8,"Angerer, Familie Paul",
Angerer_Familie_3.html,,https://dx.doi.org/10.1553/0x0032ca49,"Angerer, Familie Stefan:",
Angerer_Joachim.html,https://d-nb.info/gnd/12222938X,https://dx.doi.org/10.1553/0x0001f6f5,"Angerer, Joachim OPraem (Fridolin)",
Angerer_Manfred.html,https://d-nb.info/gnd/11029632X,https://dx.doi.org/10.1553/0x000221ad,"Angerer, Manfred",
Angermueller_Rudolph.html,https://d-nb.info/gnd/131835262,https://dx.doi.org/10.1553/0x0001f6f9,"Angermüller, Rudolph Kurt",
Angiolini_Familie.html,,https://dx.doi.org/10.1553/0x0001f6fb,"Angiolini, Familie Gasparo",
Angstenberger_Michael.html,https://d-nb.info/gnd/135718473,https://dx.doi.org/10.1553/0x0001f6fc,"Angstenberger, Michael",
Angyan_Thomas.html,https://d-nb.info/gnd/1022096451,https://dx.doi.org/10.1553/0x0001f6fd,"Angyan, Thomas",
Aniada_a_Noar.html,,https://dx.doi.org/10.1553/0x002d8036,Aniada a Noar (weststeirisch für „Ein jeder ein Narr“),
Anna_F.html,https://d-nb.info/gnd/1015176593,https://dx.doi.org/10.1553/0x002d8038,"Anna F. (eig. Wappel, Anna)",
Annau_Erwin.html,https://d-nb.info/gnd/1033817740,https://dx.doi.org/10.1553/0x0001f6fe,"Annau, Erwin",
Annenfest.html,,https://dx.doi.org/10.1553/0x0001f700,Annenfest ,
